2995 31367
1171 straighter 1
1172 level 2
1173 waiting 2
1174 exactly 5
1175 swam 13
1176 drift 2
1177 sixty 1
1178 precision 1
1179 knows 10
1180 new 7
1181 rather 3
1182 exact 1
1183 hours 11
1184 higher 6
1185 32. 1
1186 look 11
1187 sight 6
1188 showed 12
1189 inshore 1
1190 yet 4
1191 blackness 1
1192 force 3
1193 painful 2
1194 man-of-war 2
1195 circling 10
1196 sky 12
1197 ahead 7
1198 quick 4
1199 drop 1
1200 slanting 3
1201 back-swept 1
1202 circled 2
1203 aloud 34
1204 looking. 1
1205 hurry 1
1206 crowded 1
1207 little 27
1208 hshing 1
1209 correctly 1
1210 faster 1
1211 trying 4
1212 use 3
1213 air 13
1214 motionless 1
1215 dove 1
1216 spurt 1
1217 desperately 2
1218 33 1
1219 dolphin 23
1220 shipped 2
1221 wire 6
1222 leader 2
1223 medium- 1
1224 sized 1
1225 baited 2
1226 ring 1
1227 bolt 1
1228 stern 24
1229 shade 3
1230 watching 6
1231 long-winged 1
1232 dipped 1
1233 dive 1
1234 swinging 4
1235 wildly 2
1236 ineffectually 1
1237 followed 2
1238 slight 1
1239 bulge 1
1240 raised 3
1241 escaping 1
1242 cutting 7
1243 flight 2
1244 driving 4
1245 school 6
1246 dol- 2
1247 phin 2
1248 widespread 1
1249 chance 4
1250 burst 1
1251 ineffectual 1
1252 movements 2
1253 gotten 1
1254 mov- 2
1255 pick 3
1256 34 1
1257 stray 1
1258 somewhere 1
1259 clouds 8
1260 gray 2
1261 purple 12
1262 red 4
1263 sifting 1
1264 plankton 3
1265 meant 5
1266 shape 4
1267 sun-bleached 1
1268 sargasso 2
1269 formalized 1
1270 iridescent 2
1271 gelatinous 1
1272 blad- 1
1273 der 3
1274 portuguese 2
1275 floating 1
1276 righted 4
1277 itself 4
1278 floated 3
1279 cheerfully 1
1280 bubble 2
1281 ifs 1
1282 deadly 1
1283 pur- 2
1284 ple 1
1285 filaments 4
1286 trailing 2
1287 yard 2
1288 agua 2
1289 mala 2
1290 whore. 1
1291 swung 10
1292 lightly 7
1293 tiny 3
1294 35 1
1295 coloured 1
1296 die 7
1297 tween 2
1298 immune 1
1299 poison 3
1300 catch 4
1301 rest 13
1302 slimy 1
1303 welts 1
1304 sores 1
1305 arms 5
1306 ivy 1
1307 oak 1
1308 poisonings 1
1309 quickly 4
1310 struck 4
1311 whip- 1
1312 lash 7
1313 bubbles 1
1314 falsest 1
1315 turtles 7
1316 approached 1
1317 front 1
1318 shut 7
1319 completely 2
1320 carapaced 1
1321 ate 8
1322 walk 1
1323 storm 1
1324 hear 5
1325 pop 1
1326 stepped 4
1327 horny 1
1328 soles 1
1329 hawk-bills 1
1330 ele- 1
1331 gance 1
1332 value 1
1333 friendly 2
1334 contempt 1
1335 huge 10
1336 stupid 4
1337 loggerheads 1
1338 yel- 1
1339 armour-plating 1
1340 love- 1
1341 s'^ 1
1342 making 6
1343 men-of-war 1
1344 mysticism 1
1345 turtle 4
1346 trunk 1
1347 backs 2
1348 weighed 2
1349 ton 1
1350 heart- 1
1351 less 4
1352 beat 8
1353 theirs 1
1354 eggs 1
1355 september 3
1356 october 1
1357 also 4
1358 cup 1
1359 liver 1
1360 oil 1
1361 drum 1
1362 hated 1
1363 taste 3
1364 worse 2
1365 colds 1
1366 grippes 1
1367 found 7
1368 broke 4
1369 scattering 1
1370 37 1
1371 tuna 13
1372 shone 1
1373 silver 8
1374 jumping 4
1375 directions 1
1376 churning 1
1377 leaping 1
1378 jumps 3
1379 travel 1
