16142 393317
675 gas 17
676 mask 22
677 oblong 2
678 tin 12
679 can 824
680 steel 19
681 helmet 8
682 peg 1
683 foot 52
684 flat 47
685 trunk 9
686 boots 57
687 shiny 8
688 oil 14
689 austrian 30
690 sniper 3
691 rifle 33
692 blued 1
693 octagon 1
694 barrel 23
695 walnut 3
696 cheek-fitted 1
697 _schutzen_ 1
698 stock 4
699 beds 14
700 telescope 2
701 fitted 3
702 remembered 36
703 locked 12
704 lay 129
705 asleep 51
706 woke 43
707 ciaou 11
708 what 1033
709 kind 67
710 magnificent. 1
711 hands 152
712 put 370
713 arm 81
714 kissed 38
715 oughf 1
716 re 284
717 dirty 28
718 wash. 4
719 tell 348
720 once. 7
721 everywhere 10
722 milan 37
723 florence 5
724 villa 28
725 san 31
726 giovanni 2
727 messina 1
728 taormina—— 1
729 time-table 1
730 any 563
731 adventures 2
732 yes. 47
733 milano 8
734 firenze 3
735 roma 3
736 napoli—— 1
737 enough 128
738 best. 4
739 milano. 1
740 meet 26
741 her 834
742 cova 6
743 feel 213
744 before. 4
745 wonderful. 6
746 afternoon 63
747 english 88
748 miss 95
749 barkley 39
750 take 362
751 call 94
752 marry 16
753 barkley. 3
754 washed 25
755 anybody 22
756 work 167
757 since 105
758 frostbites 1
759 chilblains 1
760 jaundice 14
761 gonorrhea 2
762 self-inflicted 6
763 wounds 19
764 pneumonia 2
765 hard 164
766 soft 17
767 chancres 1
768 week 34
769 gets 29
770 wounded 64
771 rock 18
772 fragments 10
773 real 56
774 starts 9
775 perhaps 110
776 think 461
777 right 516
778 barkley—after 1
779 absolutely 26
780 basin 11
781 full 92
782 to-night 41
783 sleep 134
784 fresh 44
785 off 385
786 shirt 34
787 while 270
788 rubbed 10
789 myself 66
790 towel 6
791 lying 51
792 closed 29
793 good-looking 6
794 age 21
795 loved 63
796 surgeon 18
797 friends 52
798 loan 3
799 fifty 39
800 lire. 6
801 dried 26
802 pocket-book 3
803 hanging 10
804 note 28
805 folded 17
806 without 174
807 slid 11
808 breeches 6
809 impression 7
810 man 850
811 sufficient 3
812 wealth 1
813 financial 4
814 protector. 1
815 hell 199
816 disappointed 8
817 hurt 71
818 written 26
819 preparations 1
820 felt 213
821 why 212
822 wanted 151
823 tried 80
824 explain 19
825 finally 107
826 understood 27
827 almost 107
828 drunk 60
829 coffee 55
830 strega 2
831 winefully 1
832 such 121
833 talking 107
834 argued 2
835 place 198
836 frozen 25
837 powdery 1
838 hare-tracks 1
839 hats 9
840 called 109
841 lord 18
842 smoke 31
843 whirled 2
844 needed 20
845 stop 91
846 strange 78
847 excitement 10
848 waking 10
849 knowing 23
850 who 569
851 world 45
852 unreal 3
853 exciting 13
854 resume 2
855 unknowing 2
856 caring 3
857 sure 140
858 care 67
859 wake 32
860 morning 185
861 sharp 25
862 dispute 6
863 cost 13
864 pleasant 53
865 fond 13
866 breakfast 46
867 lunch 50
868 niceness 1
869 always 286
870 starting 23
871 difference 39
872 better 272
873 unless 44
874 tastes 2
875 alike 11
876 known 36
877 learned 27
878 able 47
879 forget 26
880 although 58
881 meantime 5
882 meal 13
883 finished 38
884 argument 4
885 stopped 127
886 happy 96
887 listened 19
888 attack 64
889 suppose 68
890 attack. 4
891 shall 13
892 nodded 27
893 alone 91
894 right. 75
895 anything 259
896 anyway 82
897 got 362
898 iv 4
899 battery 5
900 gravel 6
901 moist 6
902 grass 102
903 dew 9
904 fired 14
905 twice 47
906 air 59
907 blow 26
908 pajamas 2
909 flap 1
910 evidently 15
911 firing 13
912 directly 8
913 nuisance 6
914 them 1204
915 comfort 8
916 bigger 13
917 truck 16
918 dressed 28
919 downstairs 17
920 kitchen 28
